Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN N2;73.265.872;0,05
ABEV3;AMBEV S/A;ON;4.354.228.928;3,117
ALPA4;ALPARGATAS;PN N1;187.007.704;0,261
ALSO3;ALIANSCSONAE;ON NM;127.374.163;0,174
ALUP11;ALUPAR;UNT N2;150.960.603;0,174
AMAR3;LOJAS MARISA;ON NM;109.374.720;0,042
ANIM3;ANIMA;ON NM;72.891.620;0,091
ARZZ3;AREZZO CO;ON NM;44.066.233;0,108
AZUL4;AZUL;PN N2;317.471.474;0,313
B3SA3;B3;ON NM;2.046.021.644;6,411
BBAS3;BRASIL;ON NM;1.418.466.803;2,309
BBDC3;BRADESCO;ON N1;1.253.093.907;1,245
BBDC4;BRADESCO;PN N1;4.261.649.634;4,627
BBSE3;BBSEGURIDADE;ON NM;671.601.167;0,902
BEEF3;MINERVA;ON NM;259.260.688;0,174
BIDI11;BANCO INTER;UNT N2;133.605.928;0,349
BIDI4;BANCO INTER;PN N2;27.937.162;0,025
BKBR3;BK BRASIL;ON NM;224.816.907;0,121
BPAC11;BTGP BANCO;UNT EJ N2;236.727.231;0,987
BPAN4;BANCO PAN;PN N1;315.644.002;0,143
BRAP4;BRADESPAR;PN N1;222.089.397;0,44
BRDT3;PETROBRAS BR;ON NM;728.125.000;0,801
BRFS3;BRF SA;ON NM;811.416.229;0,791
BRKM5;BRASKEM;PNA N1;264.632.416;0,306
BRML3;BR MALLS PAR;ON NM;843.313.591;0,417
BRPR3;BR PROPERT;ON NM;202.188.430;0,089
BRSR6;BANRISUL;PNB N1;202.531.540;0,139
BTOW3;B2W DIGITAL;ON ES NM;207.720.872;1,207
CAML3;CAMIL;ON NM;120.834.497;0,07
CCRO3;CCR SA;ON NM;1.115.695.556;0,783
CEAB3;CEA MODAS;ON NM;106.349.614;0,053
CESP6;CESP;PNB N1;182.017.689;0,269
CIEL3;CIELO;ON NM;1.118.386.806;0,283
CMIG3;CEMIG;ON N1;239.077.295;0,141
CMIG4;CEMIG;PN N1;966.005.862;0,556
CNTO3;CENTAURO;ON NM;86.408.109;0,124
COGN3;COGNA ON;ON NM;1.829.322.117;0,726
CPFE3;CPFL ENERGIA;ON NM;170.209.781;0,263
CPLE3;COPEL;ON N1;60.002.482;0,18
CPLE6;COPEL;PNB N1;128.297.147;0,388
CRFB3;CARREFOUR BR;ON NM;384.888.219;0,381
CSAN3;COSAN;ON NM;153.417.832;0,606
CSMG3;COPASA;ON NM;62.969.736;0,168
CSNA3;SID NACIONAL;ON;642.387.288;0,358
CVCB3;CVC BRASIL;ON NM;168.533.416;0,167
CYRE3;CYRELA REALT;ON ED NM;281.154.098;0,348
DIRR3;DIRECIONAL;ON NM;81.507.613;0,066
DMMO3;DOMMO;ON;269.968.506;0,019
DTEX3;DURATEX;ON NM;273.622.865;0,203
ECOR3;ECORODOVIAS;ON NM;171.079.276;0,113
EGIE3;ENGIE BRASIL;ON NM;254.813.401;0,54
ELET3;ELETROBRAS;ON N1;358.028.908;0,654
ELET6;ELETROBRAS;PNB N1;240.022.548;0,449
EMBR3;EMBRAER;ON NM;736.171.905;0,283
ENAT3;ENAUTA PART;ON NM;75.630.071;0,038
ENBR3;ENERGIAS BR;ON NM;295.402.225;0,26
ENEV3;ENEVA;ON NM;315.006.451;0,774
ENGI11;ENERGISA;UNT N2;250.709.436;0,577
EQTL3;EQUATORIAL;ON ED NM;1.010.186.085;1,194
EVEN3;EVEN;ON NM;205.280.287;0,132
EZTC3;EZTEC;ON NM;95.629.772;0,181
FLRY3;FLEURY;ON NM;305.126.422;0,357
GFSA3;GAFISA;ON NM;67.798.040;0,018
GGBR4;GERDAU;PN N1;1.031.246.473;0,848
GNDI3;INTERMEDICA;ON NM;458.380.483;1,496
GOAU4;GERDAU MET;PN N1;662.644.908;0,251
GOLL4;GOL;PN N2;134.613.917;0,122
GRND3;GRENDENE;ON NM;271.290.545;0,102
GUAR3;GUARARAPES;ON;86.112.560;0,075
HAPV3;HAPVIDA;ON NM;217.060.254;0,684
HBOR3;HELBOR;ON NM;326.312.863;0,045
HGTX3;CIA HERING;ON NM;126.302.831;0,089
HYPE3;HYPERA;ON NM;407.518.048;0,669
IGTA3;IGUATEMI;ON NM;86.913.923;0,14
IRBR3;IRBBRASIL RE;ON NM;1.250.792.767;0,5
ITSA4;ITAUSA;PN N1;4.494.029.326;2,252
ITUB3;ITAUUNIBANCO;ON N1;387.553.550;0,46
ITUB4;ITAUUNIBANCO;PN N1;4.738.562.684;6,015
JBSS3;JBS;ON NM;1.620.646.499;1,715
JHSF3;JHSF PART;ON NM;248.100.816;0,109
JSLG3;JSL;ON NM;55.040.438;0,072
KLBN11;KLABIN S/A;UNT N2;637.772.642;0,656
LAME3;LOJAS AMERIC;ON N1;201.042.500;0,299
LAME4;LOJAS AMERIC;PN N1;696.190.451;1,186
LCAM3;LOCAMERICA;ON NM;313.436.726;0,271
LEVE3;METAL LEVE;ON NM;38.492.519;0,033
LIGT3;LIGHT S/A;ON NM;303.934.060;0,276
LINX3;LINX;ON NM;160.913.029;0,209
LOGG3;LOG COM PROP;ON NM;60.322.071;0,097
LOGN3;LOG-IN;ON NM;100.931.707;0,077
LREN3;LOJAS RENNER;ON NM;785.308.019;1,551
MDIA3;M.DIASBRANCO;ON NM;83.613.641;0,159
